id,title,content,url,source,author,category,published_at,prediction,score,collected_at
16,"How Rayner, Streeting and Burnham weakened PM in 12 hours of political drama",Three interventions by three senior Labour politicians made for an unforgettable day in British politics.,https://www.bbc.com/news/articles/cvgzjj474ywo?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
17,Spring warmth set to return with 26C forecast next week,"After feeling pretty cold with heavy showers and hail, the weather is picking up with a return to some spring warmth next week, as Simon King explains",https://www.bbc.com/weather/articles/cx21rj9j7xpo?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
18,US planning to criminally indict ex-Cuban leader Raul Castro,Charges could come as soon as next week in a case reportedly focused on Cuba's downing of two planes in 1996.,https://www.bbc.com/news/articles/c1w2gnd9xp2o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
19,British firm vying to build next Red Arrows jets collapses,Aeralis was hoping the UK government would award it a contract to replace the Hawk jets currently flown by the RAF.,https://www.bbc.com/news/articles/cpwp11v82lno?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
20,Giant new dinosaur identified from fossils in Thailand,The nagatitan is the largest dinosaur found in South-East Asia and weighs as much as nine elephants.,https://www.bbc.com/news/articles/cx21pk5g20ro?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
21,"Boy, 9, aims to become youngest amputee to complete Three Peaks challenge",Albie-Junior Thomas hopes to scale the UK's three highest peaks in 24 hours wearing a prosthetic.,https://www.bbc.com/news/articles/cevpx7817lxo?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
22,New bypass named Pork Pie Way in defining moment for Melton Mowbray,"Animal rights charity Peta says the name for the new road was ""pig-demeaning"".",https://www.bbc.com/news/articles/c8e81wrp04go?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
23,I became my sister's carer at six - she amazes me every day,Vicky Lilly refuses to let her disability get in the way of her independence.,https://www.bbc.com/news/articles/c1k2837vyxjo?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
24,BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
25,The Week: How did Labour get here and where do they go now?,And who are the potential challengers to Keir Starmer?,https://www.bbc.co.uk/sounds/play/p0nkrlhy?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
26,Why Democrats are panicking about losing California,Has Americas largest state become ungovernable?,https://www.bbc.co.uk/sounds/play/w3ct8lz2?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
27,A cross-cultural rom-com about an assisted marriage,"Her best friend's journey into marriage, challenges Zoe's own attitude toward relationships",https://www.bbc.co.uk/iplayer/episode/m0024z37/whats-love-got-to-do-with-it?at_mid=gwNkhmpDbl&at_campaign=Whats_Love_Got_to_Do_with_It?&at_medium=display_ad&at_campaign_type=owned&at_audience_id=SS&at_product=iplayer&at_brand=m0024z37&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=Whats_Love_Got_to_Do_with_It?&at_bbc_team=BBC,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
28,Man Utd reach agreement to appoint Carrick manager,Manchester United reach an agreement with Michael Carrick to become the club's permanent head coach.,https://www.bbc.com/sport/football/articles/c392r8v1jz4o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
29,"'We crumbled' - another loss, another unwanted record for leaky Liverpool","Arne Slot says his Liverpool side ""crumbled"" during their thumping defeat by Aston Villa, as the pressure on him continues to mount.",https://www.bbc.com/sport/football/articles/c392rp8lwe1o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
30,McIlroy recovers as Scheffler hits out at 'absurd' pins,Northern Ireland's Rory McIlroy drags himself back into contention as Aronimink continues to punish the world's best golfers at the US PGA Championship.,https://www.bbc.com/sport/golf/articles/c1w2gl9x2v0o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
31,Trump pleads not guilty to 34 felony counts,,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
32,Haberman reveals why Trump attacked judge and his family in speech,CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
33,What to know about the Trump indictment on the eve of his court appearance,,https://www.cnn.com/collections/intl-trump-040223/,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
34,READ: Trump indictment related to hush money payment,,https://cnn.it/411KYN7,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
35,Russian authorities detain suspect over St. Petersburg cafe blast,,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
36,Video shows moment of deadly explosion at cafe in Russia,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.",https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
37,"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says",,https://www.cnn.com/collections/intl-ukraine-030423/,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
38,Suspected Chinese spy balloon was able to transmit information back to Beijing,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.",https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
39,Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
40,"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line","A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
41,The four astronauts NASA picked for the first crewed moon mission in 50 years,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.",https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
42,French minister under fire for Playboy magazine cover,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
43,Why did Finland's PM lose? Reporter explains the key issue voters cared about,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
44,Britain's pound is beating every other major currency this year,"The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.",https://www.cnn.com/2023/04/04/investing/british-pound-currency-dollar/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
45,Finland's Prime Minister Sanna Marin concedes election,Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,https://www.cnn.com/2023/04/02/europe/sanna-marin-finland-elections-concedes-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
46,Hundreds of millions at risk from Chinese shopping app malware,,https://cnn.it/40OSomK,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
47,The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short,"The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.",https://www.cnn.com/style/article/beauty-skincare-climate/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
48,A new approach to a Covid-19 nasal vaccine shows early promise,"Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.",https://www.cnn.com/2023/04/03/health/nasal-vaccine-sterilizing-immunity/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
49,Video shows moment man throws yogurt on two women in Iran,"Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.",https://www.cnn.com/videos/world/2023/04/03/man-throws-yogurt-on-women-iran-president-raisi-hijab-is-law-nada-bashir-ovn-intl-ldn-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
50,"Israeli military veterans, a backbone of protest movement, vow to keep demonstrating","In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.",https://www.cnn.com/2023/04/03/middleeast/israel-protests-military-veterans-intl-cmd/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
51,Erdogan's political fate may be determined by Turkey's Kurds,"Turkey's persecuted pro-Kurdish party has emerged as a kingmaker in the country's upcoming election, playing a decisive role that may just tip the balance enough to unseat two-decade ruler Recep Tayyip Erdogan.",https://www.cnn.com/2023/04/03/middleeast/kurdish-kingmaker-turkish-elections-mime-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
52,Dogecoin jumps after Elon Musk replaces Twitter bird with Shiba Inu,"Twitter's traditional bird icon was booted and replaced with an image of a Shiba Inu, an apparent nod to dogecoin, the joke cryptocurrency that CEO Elon Musk is being sued over.",https://www.cnn.com/2023/04/03/investing/dogecoin-elon-musk-twitter/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
53,Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,"China has launched a cybersecurity probe into Micron Technology, one of America's largest memory chip makers, in apparent retaliation after US allies in Asia and Europe announced new restrictions on the sale of key technology to Beijing.",https://www.cnn.com/2023/04/03/tech/china-micron-probe-us-chip-war-intl-hnk/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
54,Man rides out tornado inside van. See the footage,"Cody Coombes recounts riding out a tornado in Little Rock, Arkansas, inside his pest control van. The National Weather Service reported that an EF-3 tornado had roared through Pulaski and Lonoke counties with estimated peak winds of 165 mph, killing one person in North Little Rock and four people in Wynne.",https://www.cnn.com/videos/weather/2023/04/02/little-rock-arkansas-tornado-man-inside-van-cnntmw-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
55,"China Renaissance suspends trading, delays results after founder's disappearance","China Renaissance, a top dealmaker in the country's tech industry, said it would suspend trading of its shares and delay the release of its annual results because it still can't get in touch with its founder.",https://www.cnn.com/2023/04/03/investing/china-renaissance-delays-results-missing-ceo-intl-hnk/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
56,HSBC's top execs face tense shareholders calling for a breakup,"HSBC's top brass defended their strategy Monday to frustrated shareholders in the lender's largest market, as Europe's biggest bank continued to face calls to be split up.",https://www.cnn.com/2023/04/03/business/hsbc-spin-off-hk-shareholder-meeting-intl-hnk/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
57,Lawmaker speaks out about his struggle with depression,Sen. John Fetterman (D-PA) spoke to CBS about battling with depression after winning a tight election.,https://www.cnn.com/videos/politics/2023/04/02/john-fetterman-depression-downward-spiral-acostanr-sot-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
58,CEOs are tired of being held responsible for gun regulation,"Americans have grown used to corporate executives treading the well-worn paths of the Northeast corridor to convene alongside elected officials in Washington, DC, and discuss geopolitics, policy and all that's in-between.",https://www.cnn.com/2023/04/03/investing/premarket-stocks-trading/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
59,What pet cemeteries reveal about being human,Why do we bury our departed loved ones in a cemetery? A primary purpose is to provide survivors with an opportunity to grieve and gain a sense of closure. The cemetery is a place for the living as much as it is a place for the dead.,https://www.cnn.com/2023/04/03/opinions/pet-cemeteries-burying-animals-history-tourigny/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
60,Scientists film deepest ever fish on seabed off Japan,"Cruising at a depth of 8,336 meters (over 27,000 feet) just above the seabed, a young snailfish has become the deepest fish ever filmed by scientists during a probe into the abyss of the northern Pacific Ocean.",https://www.cnn.com/2023/04/03/asia/deepest-fish-filmed-off-japan-scn-intl-hnk/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
61,What OPEC's surprise oil cut means for gas prices,OPEC and its allies' surprise move to slash oil production will soon be felt at US gas pumps.,https://www.cnn.com/2023/04/03/energy/gas-prices-opec/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
62,Palestinian taxi driver recounts surviving attack by right-wing protesters,A Palestinian taxi driver describes surviving a violent attack by a right-wing mob in Jerusalem earlier this week as Israel continues to see protests against Prime Minister Benjamin Netanyahu's judicial overhaul spread. CNN's Nic Robertson reports.,https://www.cnn.com/videos/world/2023/03/31/israel-protests-rise-taxi-driver-attacked-robertson-pkg-intl-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
63,Giving Marjorie Taylor Greene a platform isn't good for America,"Last year, GOP Rep. Marjorie Taylor Greene of Georgia spoke at a white nationalist event organized by Holocaust denier Nick Fuentes that caused Republican leaders to denounce her.",https://www.cnn.com/2023/04/03/opinions/60-minutes-marjorie-taylor-greene-interview-obeidallah/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
64,These are the animals people most want to see photographed,"Originally a term used by trophy hunters in Africa, the ""Big Five"" described the animals most challenging to shoot and kill: the lion, elephant, leopard, rhino, and buffalo. Nowadays, it is more loosely used to refer to some of Africa's largest and most iconic animals.",https://www.cnn.com/travel/article/new-big-5-wildlife-photography-book-c2e-scn-spc-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
65,"Syrian refugee elected mayor of German town, years after fleeing war",A Syrian who arrived in Germany as a refugee in 2015 has won a mayoral election in the southwestern German state of Baden-Wurttemberg.,https://www.cnn.com/2023/04/04/europe/germany-mayor-syrian-refugee-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
66,"Study finds slightly higher risk of autism diagnosis in areas with more lithium in drinking water, but experts say more research is needed","A new study found a moderately higher risk of autism spectrum disorder in children born to pregnant people exposed to tap water with higher levels of lithium, but experts caution that this association does not show a direct link between the two.",https://www.cnn.com/2023/04/03/health/autism-lithium-study/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.167232
67,"Kwame Brathwaite, photographer of 'Black is Beautiful' movement, dies at 85","Kwame Brathwaite, the pioneering activist and photographer whose work helped define the aesthetics of the ""Black is Beautiful"" movement of the 1960s and beyond, died on April 1, aged 85.",https://www.cnn.com/style/article/kwame-brathwaite-obituary-tan/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.167232,,,2026-05-16T09:45:40.173905
68,This boiled bag of offal is banned in the US. In Scotland it's a fine-dining treat,"Anthony Bourdain loved haggis. But even the late, great American chef, writer and television host recognized that Scotland's national dish, with its ""sinister sheep parts"" wrapped in a shroud of mystery and half-invented history, could be a hard sell.",https://www.cnn.com/travel/article/haggis-scotland-secrets/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.173905,,,2026-05-16T09:45:40.173905
69,Musk's Twitter promised a purge of blue check marks. Instead he singled out the New York Times,"Some VIP Twitter users woke up on Saturday expecting to have lost their coveted blue verification check marks in a previously announced purge by Elon Musk. Instead, Twitter appeared to target a single account from a major publication Musk dislikes and changed the language on its site in a way that obscures why users are verified.",https://www.cnn.com/2023/04/03/tech/twitter-blue-checks/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.174215,,,2026-05-16T09:45:40.174215
70,See the world's deepest fish,"Scientists captured the unknown snailfish species at a depth of more than 27,000 feet, as part of an expedition in trenches off Japan.",https://www.cnn.com/videos/travel/2023/04/03/snailfish-deepest-fish-on-camera-lon-orig-ao-cprog-scn.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.174215,,,2026-05-16T09:45:40.174215
71,Emma Heming Willis shares family photos as daughter Mabel turns 11,"Bruce Willis' wife, Emma Heming Willis, has celebrated their elder daughter's birthday with a trip down memory lane.",https://www.cnn.com/2023/04/03/entertainment/emma-willis-mabel-birthday-photos-intl-scli/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.174215,,,2026-05-16T09:45:40.174215
72,Some fans whistle as Lionel Messi's name is announced as Paris Saint-Germain's season hits new low,Paris Saint-Germain's miserable season went from bad to worse on Sunday as the team suffered a second straight home defeat with a 1-0 loss to Lyon.,https://www.cnn.com/2023/04/03/football/lionel-messi-psg-whistles-fans-spt-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.174215,,,2026-05-16T09:45:40.174215
73,Chelsea searches for new manager as Premier League breaks record for most sackings in a single season,"It was just six months ago that Graham Potter was deemed the man to usher in a fresh, exciting era at Chelsea.",https://www.cnn.com/2023/04/03/football/chelsea-graham-potter-manager-premier-league-spt-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.174215,,,2026-05-16T09:45:40.174215
74,See 'Star Wars' legend react to Acosta's Darth Vader impression,"Actor Mark Hamill joins CNN's Jim Acosta to discuss his thoughts about a potential spinoff series based around his legendary ""Star Wars"" character Luke Skywalker.",https://www.cnn.com/videos/media/2023/04/02/mark-hamill-star-wars-jim-acosta-skywalker-cprog-acostanr-vpx.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.174215,,,2026-05-16T09:45:40.174215
75,Angel Reese defends gesture directed towards Caitlin Clark after LSU national title win; calls out double standard after being 'unapologetically' her,"LSU star Angel Reese defended the gesture she aimed at Iowa Hawkeyes' Caitlin Clark near the end of the Tigers' first NCAA women's basketball national championship victory on Sunday, saying ""I don't take disrespect lightly.""",https://www.cnn.com/2023/04/03/sport/angel-reese-gesture-caitlin-clark-lsu-iowa-spt-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.174215,,,2026-05-16T09:45:40.174215
76,Teenage swimmer breaks two world records in four days,Sixteen-year-old Summer McIntosh broke the world record for the 400m individual medley at the Canadian swimming trials on Saturday -- just days after breaking the world record for the 400m freestyle.,https://www.cnn.com/2023/04/03/sport/summer-mcintosh-world-record-canada-swimmer-spt-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.175266,,,2026-05-16T09:45:40.175266
77,The haunting Masters meltdown that changed Rory McIlroy's career,"Slumped on his club, head buried in his arm, Rory McIlroy looked on the verge of tears.",https://www.cnn.com/2023/04/03/golf/rory-mcilroy-masters-meltdown-2011-spt-spc-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.175266,,,2026-05-16T09:45:40.175266
78,A snowboarder got buried upside down in snow. See skier's quick reaction.,"Skier Francis Zuber sprang into action when he noticed a snowboarder had become trapped upside down in a tree well. Zuber, whose reaction has been applauded as a textbook example of what to do in such a situation, urged others to take up rescue courses.",https://www.cnn.com/videos/us/2023/03/31/snowboarder-rescue-mt-baker-washington-cprog-lon-orig-na.cnn,CNN,Inconnu,General,2026-05-16T09:45:40.175266,,,2026-05-16T09:45:40.175266
79,2023 March Madness: Will UConn or San Diego State triumph in the national championship game that 'means everything?',After a March Madness filled with twists and surprises -- all four No. 1 seeds failed to reach the Elite Eight for the first ever time in NCAA men's basketball tournament history -- it is time for the grand finale as UConn faces San Diego State on Monday for the title.,https://www.cnn.com/2023/04/03/sport/march-madness-championship-game-final-preview-spt-intl/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.175266,,,2026-05-16T09:45:40.175266
80,Shania Twain calls for equal pay and more diversity in country music,Shania Twian is standing up for others in country music.,https://www.cnn.com/2023/04/03/entertainment/shania-twain-equal-diversity/index.html,CNN,Inconnu,General,2026-05-16T09:45:40.175266,,,2026-05-16T09:45:40.175266
